canonical_id,stage,model_family,legacy_ids,status,depends_on,question,evidence
E0A-BOOLE-LOCAL-VALIDATION,E0 基礎力学,generalized_boole,E0 | 20260806_E0_boole-invariant-measure,confirmed_existing,,単一一般化Boole写像の不変Cauchy測度・Lyapunov指数・TM実装は整合するか,3 alpha × 5 seed × 100000点、全ゲート、独立検証37項目
E0B-TANGENT-FOUNDATION,E0 基礎力学,tangent,T0-* | T1 | T2 | T3（理論ノート内の局所写像・Cauchy・TM節）,legacy_theory_grouped,,タンジェント写像の局所力学・Cauchy座標・TMモードの成立条件は何か,旧T系統の理論節。E0Bとして一群化し、実験IDではなく理論検証群として管理
E1A-BOOLE-SINGLE-SOURCE-READOUT,E1 読み出し・識別可能性,generalized_boole,E1A | 20260830_E1A_temporal-alpha-readout | 20260830_E1A_temporal-alpha-replication | 20260901_E1A_matched-capacity-readout,confirmed_existing,E0A-BOOLE-LOCAL-VALIDATION,周辺尺度を除いた有限軌道から未使用alphaをTM時間特徴で読めるか,"16次元TM RMSE 0.001342、Fourier 0.002614、差CI [0.000985,0.001560]"
E1B-BOOLE-TWO-SOURCE-IDENTIFIABILITY,E1 読み出し・識別可能性,generalized_boole,E1B | 20260901_E1B_two-source-identifiability,confirmed_existing,E1A-BOOLE-SINGLE-SOURCE-READOUT,可逆2観測と対称rank-one観測で順序付き2源alphaの識別可能性はどう異なるか,oracle TM 0.002083、rank-one理論下限0.073030、TM 0.073710、完全衝突差0
E2A-BOOLE-OBSERVATION-ROBUSTNESS,E2 頑健性,generalized_boole,旧E2 noise/missing/length計画,new_completed_by_unified_suite,E1B-BOOLE-TWO-SOURCE-IDENTIFIABILITY,clean-fit読出しは観測ノイズ・欠損・有限長にどこまで耐えるか,runs/20260904_E2A_boole_observation_robustness
E3A-BOOLE-FINITE-SIZE-SYNC,E3 同期力学,generalized_boole_random_coupling,E3A | 20260830_E3A_finite-size-sync-transition | 20260831_E3A_uniform-positive-confirmation,confirmed_existing,E0A-BOOLE-LOCAL-VALIDATION,有限Nで一様正結合の同期転移は理論Kc≈0.5へ近づくか,"N最大512、10 seed、K50 0.465625、95%CI [0.4625,0.475]"
E3B-TANGENT-TWO-NODE-BASIN,E3 同期力学,tangent_two_node,T4 | 旧E2 2自由度タンジェント同期相図,new_completed_by_unified_suite,E0B-TANGENT-FOUNDATION,局所横Lyapunov負と有限差初期値からの大域同期率は一致するか,runs/20260904_E3B_tangent_two_node_basin
E3C-BOOLE-N8-INPUT-RETENTION,E3 同期力学,boole_output_mixing,旧E3 小規模ネットワーク入力保持計画,new_completed_by_unified_suite,E1A-BOOLE-SINGLE-SOURCE-READOUT | E3A-BOOLE-FINITE-SIZE-SYNC,同期臨界直後に横方向冗長性を縮約しながら入力符号を読めるか,runs/20260904_E3C_boole_n8_input_retention
E4A-BOOLE-SYNTHETIC-SIGNAL-RECONSTRUCTION,E4 信号圧縮・復元,boole_output_mixing_driven,旧E4 合成信号計画,new_completed_by_unified_suite,E3C-BOOLE-N8-INPUT-RETENTION,正弦波・chirp・混合波を低次TM表現から復元できるか,runs/20260904_E4A_boole_synthetic_signal
E5A-BOOLE-SMALL-IMAGE-DIGITS,E5 画像pilot,boole_output_mixing_driven,旧E5 MNIST/AE計画,pilot_completed_by_unified_suite,E4A-BOOLE-SYNTHETIC-SIGNAL-RECONSTRUCTION,E4で選んだ力学は8×8小画像の再構成とクラス保持へ転移するか,runs/20260904_E5A_boole_small_image_digits。28×28 MNIST確認は別run
E5B-BOOLE-MNIST-CONFIRMATION,E5 画像確認,boole_output_mixing_driven,MNIST本確認,not_run_requires_external_dataset_compute,E5A-BOOLE-SMALL-IMAGE-DIGITS,8×8 pilotの結論が28×28 MNISTとAE比較で再現するか,未実行。pilotと本確認を混同しない
